cindex	day_of_interest
0.6235294117647063	39
0.9882352941176471	61
0.7650602409638556	144
0.6084337349397593	150
0.5555555555555558	171
0.5142857142857127	222
0.5601265822784777	232
0.49050632911392117	241
0.5156695156695116	244
0.5428571428571376	260
0.5550935550935491	276
0.5862785862785806	284
0.5655577299412861	294
0.5322896281800332	302
0.5246478873239382	336
0.5263157894736794	349
0.5384615384615342	375
0.5678321678321638	389
0.558041958041954	392
0.5584239130434744	394
0.5516304347826048	395
0.5548549810844856	419
0.5838287752675354	438
0.5794930875576005	502
0.5472350230414712	515
0.5345622119815633	534
0.5414746543778768	535
0.5357142857142823	536
0.5216426193118723	611
0.5160932297447246	638
0.5260821309655903	648
0.5360710321864561	693
0.5238623751387312	702
0.5424836601307157	814
0.5261437908496699	853
0.5217864923747243	854
0.5228758169934606	882
0.5087145969498876	1003
0.4967948717948683	1569
0.49145299145298793	1747
0.5224819548374248	2681
